Calories,Total Fat (g),Total Sugars (g),Carbohydrates (Carbs) (g),Protein (g),Cluster
390,4.8,31.1,69.4,16.6,0
640,8.4,7.2,96.8,9.4,0
671,16.9,18.6,39.9,1.2,1
562,16.7,22.0,33.1,14.7,1
612,35.4,42.8,19.2,7.0,2
780,19.9,24.8,68.9,21.9,0
167,11.4,11.4,58.6,48.1,0
567,3.7,23.6,15.4,26.4,2
673,12.1,30.5,29.3,34.3,2
653,6.1,18.0,77.6,42.5,0
243,28.8,39.3,59.2,3.2,1
193,17.1,42.0,20.7,44.1,2
576,5.2,8.4,76.0,42.1,0
168,16.7,43.7,65.7,26.3,0
571,3.7,1.2,8.1,45.5,2
610,22.2,30.2,27.1,1.8,1
176,15.4,1.4,67.7,24.3,1
350,5.1,45.5,57.4,16.2,0
57,30.8,47.1,73.3,33.0,2
648,33.0,38.4,53.2,3.3,1
635,13.0,18.8,41.7,9.3,0
661,4.0,39.5,90.1,48.4,0
703,5.1,8.3,35.3,25.2,0
337,19.6,36.2,98.7,20.0,0
778,23.8,41.7,4.3,48.0,2
508,11.4,1.3,97.8,9.5,0
290,4.9,48.6,11.4,39.1,2
668,24.3,37.3,26.0,31.9,2
692,12.5,2.7,95.3,4.4,0
571,20.2,10.9,38.5,10.5,1
420,29.8,11.1,76.4,27.5,1
191,27.8,13.3,34.0,11.1,1
89,22.2,3.4,56.4,42.2,1
637,19.3,21.3,83.9,17.2,0
329,8.9,28.1,24.6,25.1,2
332,11.2,4.9,47.4,6.1,1
77,13.0,35.1,17.5,25.3,1
150,31.8,43.7,39.7,18.9,1
560,4.7,21.4,25.6,3.7,0
633,9.8,7.3,59.0,0.4,0
422,30.3,29.9,50.2,25.6,2
533,9.2,28.4,41.4,23.2,0
363,5.2,31.3,96.8,11.5,0
458,20.8,8.5,95.4,1.8,1
642,20.0,31.3,15.8,22.3,2
440,30.0,21.4,49.4,19.4,1
180,18.3,18.8,80.8,25.0,0
710,7.7,17.4,76.8,41.5,0
655,21.8,25.4,27.0,7.1,1
207,1.9,24.5,60.7,4.1,0
450,30.9,25.3,88.6,40.5,0
694,34.9,39.3,22.9,3.3,2
275,36.9,36.7,40.9,34.2,2
427,2.7,37.6,27.5,28.1,2
656,11.9,26.3,20.8,34.5,2
194,0.1,31.7,7.2,34.2,2
241,12.8,42.1,26.3,10.3,1
207,29.4,4.9,73.0,3.3,1
296,9.1,11.6,52.0,38.6,0
221,31.8,6.0,71.0,9.3,1
332,35.0,39.0,19.6,28.2,2
589,30.5,20.8,88.5,4.6,1
695,10.4,23.7,95.9,11.0,0
499,24.5,23.5,26.7,22.3,2
702,21.4,35.8,82.8,17.4,0
207,29.6,49.6,9.1,40.6,2
555,29.1,0.7,17.1,33.5,1
479,10.8,45.9,11.7,5.5,2
235,4.3,29.0,92.4,14.8,0
607,5.4,13.6,45.9,49.7,0
156,34.2,25.6,65.1,41.6,1
759,9.8,9.5,96.9,33.6,0
370,25.8,30.3,55.8,43.6,2
380,37.5,11.4,52.9,7.6,1
767,12.0,8.2,88.6,49.1,0
619,22.6,3.5,0.8,22.7,1
90,33.3,46.5,93.6,11.4,1
62,33.8,39.3,97.3,41.1,1
594,30.1,27.2,42.1,42.6,2
509,12.4,21.4,33.0,24.8,2
794,8.1,6.4,45.7,42.7,0
111,21.3,26.4,42.6,22.6,1
538,22.0,0.9,2.2,0.6,1
324,0.8,22.2,82.4,48.3,0
460,31.2,1.7,54.0,39.7,1
500,18.5,42.8,16.5,17.8,2
59,18.9,30.1,48.3,18.2,1
255,9.7,30.0,23.5,31.0,2
332,33.3,11.9,61.5,46.3,2
517,8.5,41.9,3.7,3.5,2
136,38.6,21.7,59.8,26.4,1
725,22.7,48.0,18.2,13.0,2
617,14.6,6.8,28.4,43.0,2
731,12.1,36.4,97.4,12.2,0
683,24.7,5.6,91.5,13.6,0
251,14.2,38.5,2.6,39.9,2
727,27.3,27.2,11.9,6.0,2
697,33.2,0.8,3.3,13.6,1
111,16.6,21.5,0.5,42.7,2
731,2.5,23.3,62.5,34.7,0
233,14.0,43.9,85.3,17.0,0
780,20.0,8.5,26.1,30.1,2
309,20.9,25.8,70.4,13.2,1
779,11.9,32.1,14.7,34.1,2
520,13.0,23.7,83.0,48.3,0
73,9.9,29.1,17.4,41.9,2
155,35.0,19.9,26.5,47.4,2
353,5.6,49.6,41.6,32.1,2
184,23.8,47.2,88.1,30.8,0
450,29.2,16.1,94.0,37.1,0
263,28.8,26.5,36.8,35.0,2
486,19.0,16.9,77.8,43.0,0
739,13.4,11.7,48.4,15.5,0
395,36.7,32.7,96.1,9.8,1
72,22.6,41.5,20.2,38.4,2
623,12.2,24.8,48.6,15.1,0
92,33.4,22.2,58.4,9.8,1
691,13.1,32.7,47.8,39.0,2
402,28.6,6.5,4.8,24.6,1
219,35.7,46.8,71.2,47.4,2
279,29.0,30.9,89.9,6.4,1
421,21.2,24.5,95.4,8.3,0
286,19.9,10.7,88.1,45.4,0
139,2.6,45.4,7.2,1.2,1
744,23.7,20.9,80.4,27.1,0
400,9.0,22.6,52.4,24.7,0
59,30.1,23.4,74.0,25.6,1
399,30.0,45.0,96.4,20.5,0
620,24.5,40.4,63.1,33.1,2
751,32.3,13.6,21.2,32.5,2
658,27.5,1.8,90.8,40.1,0
688,13.1,38.0,31.6,9.8,2
67,3.2,1.2,78.2,31.3,0
344,17.0,4.9,19.5,29.5,1
295,36.1,43.7,74.5,48.5,2
450,31.8,45.5,63.2,44.3,2
689,33.9,6.1,12.2,30.3,2
91,24.2,22.9,32.1,18.2,1
489,34.9,43.9,96.7,26.1,2
152,16.7,27.7,88.4,3.9,1
95,21.6,25.1,17.3,29.8,1
520,28.3,49.0,55.0,44.7,2
136,6.3,17.7,37.0,30.8,0
238,8.6,38.3,2.7,49.3,2
638,11.2,31.4,11.3,26.5,2
142,30.9,40.2,47.0,3.1,1
79,26.7,22.7,8.3,1.3,1
106,5.4,22.7,49.7,28.5,0
515,10.7,15.7,43.8,24.0,0
423,29.9,28.3,21.0,37.3,2
144,22.5,37.2,49.0,10.4,1
206,28.7,11.2,23.4,33.6,1
548,40.0,48.3,22.1,35.7,2
313,8.1,9.4,21.8,36.7,0
474,6.7,40.6,81.2,42.1,0
177,27.6,13.0,78.0,3.8,1
176,16.1,22.9,34.0,32.1,1
293,32.8,1.7,53.5,27.5,1
684,13.9,9.8,46.8,29.0,0
232,21.7,42.7,97.7,9.0,0
654,30.9,35.3,8.5,44.7,2
437,31.6,3.3,87.1,28.9,1
182,17.4,35.4,21.0,0.5,1
80,38.9,11.4,27.1,15.2,1
85,35.3,28.2,35.7,13.3,1
265,31.8,30.4,31.4,22.8,1
564,19.7,3.8,97.0,23.4,0
66,25.2,42.4,92.5,30.8,0
491,17.7,36.2,82.4,31.1,0
684,39.7,25.2,61.1,16.2,1
691,9.7,40.3,97.1,14.1,0
345,28.9,48.3,73.8,44.2,2
723,37.1,12.6,97.4,21.8,0
611,7.4,23.8,56.3,24.2,0
208,24.4,18.6,94.9,31.6,0
195,32.4,48.4,22.0,17.3,2
110,20.3,48.8,62.3,19.8,1
625,37.9,1.8,54.4,15.2,1
94,34.3,30.3,98.3,30.1,1
611,15.8,31.0,75.5,41.8,0
110,28.2,8.6,18.5,47.9,1
608,2.7,43.8,23.3,5.5,2
682,29.1,8.2,42.6,7.4,1
387,32.6,32.9,60.9,4.4,1
519,25.9,20.8,32.8,3.6,1
59,7.6,2.1,83.5,11.3,1
236,5.0,41.5,61.8,2.1,0
631,19.6,16.0,37.6,2.5,1
727,6.6,43.2,56.2,46.3,2
318,16.6,48.8,82.4,19.2,0
425,36.2,1.3,28.6,19.1,1
194,2.1,35.4,34.9,23.3,0
64,4.8,20.6,34.7,25.3,1
178,22.8,21.2,22.7,32.9,1
270,25.2,48.2,11.2,36.1,2
666,33.3,49.7,89.9,27.3,2
719,24.0,44.5,91.4,13.0,0
316,10.5,41.3,40.0,43.5,2
577,33.2,13.0,80.8,33.5,0
638,20.0,28.9,72.1,6.8,0
398,29.6,6.6,21.9,5.8,1
225,15.7,45.7,70.4,27.9,0
130,2.2,23.0,71.1,35.0,0
51,23.1,8.3,22.9,34.0,1
407,13.3,7.1,34.5,47.5,0
357,5.3,35.6,22.8,21.0,2
387,18.7,13.4,78.1,30.0,0
354,32.6,26.4,83.5,39.9,2
681,30.8,34.8,98.7,44.2,0
367,30.3,35.9,12.2,34.4,2
364,7.4,0.9,70.0,16.5,0
176,14.3,23.5,46.0,27.3,1
392,30.0,40.6,20.4,0.9,1
538,1.2,35.8,84.8,3.8,0
239,20.0,0.7,76.5,35.3,0
680,11.3,10.5,64.3,30.3,0
89,2.4,10.0,83.6,8.9,0
753,24.1,2.5,33.8,25.4,1
764,20.9,17.6,31.1,32.5,2
744,16.9,10.9,24.5,47.9,2
73,38.6,8.3,55.6,46.1,1
423,0.4,38.1,91.6,17.4,0
705,4.5,1.8,78.8,19.3,0
146,14.4,27.4,65.5,16.0,1
494,27.9,26.3,99.2,29.4,0
526,4.9,6.0,32.4,25.7,0
573,11.1,45.3,82.7,27.2,0
296,4.3,5.2,32.0,29.4,0
287,7.9,39.9,10.0,28.3,2
205,14.6,44.6,51.8,13.2,1
127,21.2,1.7,83.1,31.8,1
537,24.4,30.1,25.7,34.8,2
72,30.3,21.5,50.0,35.3,1
54,19.6,19.8,7.6,46.3,2
482,12.0,48.2,81.9,27.1,0
441,6.0,13.7,84.8,12.4,0
285,25.7,48.0,37.9,38.7,2
640,29.5,7.2,77.2,16.6,1
782,27.1,19.3,31.1,38.8,2
787,27.5,15.4,45.5,46.5,2
380,23.5,44.8,7.5,33.0,2
758,2.3,24.6,89.4,37.9,0
63,19.3,20.6,90.7,47.0,0
113,15.7,10.1,87.5,21.1,1
242,21.5,39.2,52.9,45.4,2
599,36.0,47.3,39.1,29.1,2
86,34.7,15.5,60.4,25.6,1
432,21.1,19.0,15.7,30.8,2
357,17.9,46.0,3.8,39.0,2
410,36.1,6.3,78.9,13.1,1
103,39.2,11.0,74.0,32.6,1
331,1.6,46.4,26.6,33.3,2
140,28.2,48.6,97.4,27.2,0
581,13.3,7.5,39.6,1.9,1
126,37.2,25.3,23.5,16.9,1
775,12.7,30.7,48.8,6.4,0
226,34.0,36.5,25.9,18.2,1
104,34.3,24.0,81.6,3.5,1
485,10.0,24.1,81.6,22.4,0
186,15.3,15.8,56.4,37.0,0
233,17.8,49.1,99.5,20.9,0
750,21.3,27.7,65.1,21.4,0
575,29.7,36.6,24.2,42.5,2
744,21.2,20.4,67.7,36.0,0
761,21.7,28.6,28.7,21.2,2
367,23.6,22.9,41.1,23.2,1
55,13.8,44.8,31.5,0.3,1
785,0.4,41.4,77.7,43.8,0
418,6.9,3.3,29.5,45.5,0
364,29.3,5.2,86.6,31.3,1
448,13.3,3.9,98.7,31.7,0
98,21.3,25.8,32.2,14.7,1
60,26.3,3.0,74.2,5.3,1
767,34.1,7.1,38.3,22.9,1
424,4.3,10.7,89.4,5.0,0
220,22.7,7.8,82.8,26.8,1
93,29.2,38.9,3.8,11.9,1
763,25.4,17.7,7.2,30.1,2
222,11.9,12.5,91.4,14.8,0
424,25.7,40.9,51.0,28.2,2
347,19.7,7.2,15.2,10.1,1
73,18.0,47.9,39.8,35.6,2
531,23.1,33.8,45.5,48.9,2
680,37.1,47.7,61.4,4.2,2
497,37.1,8.0,31.3,46.4,2
480,36.6,32.7,70.6,32.8,2
90,17.7,10.9,26.0,38.9,1
284,15.5,38.6,9.0,21.3,2
386,1.1,10.5,68.6,11.5,0
548,31.2,43.4,67.1,23.8,2
447,35.2,22.4,43.1,14.1,1
81,26.7,37.4,19.6,35.8,2
622,26.5,20.0,69.5,38.0,0
159,39.4,16.6,10.0,7.9,1
421,11.7,34.0,23.4,39.8,2
95,8.4,31.1,40.8,48.1,2
515,31.9,27.9,98.3,20.8,0
235,21.1,44.0,71.4,5.9,1
402,23.4,38.8,61.5,7.9,1
51,3.7,17.4,55.7,21.5,0
260,5.9,42.9,82.4,20.3,0
685,18.3,36.4,86.8,16.9,0
430,10.5,39.2,71.7,42.5,0
53,9.5,30.5,74.7,0.2,1
59,19.9,5.2,92.7,44.0,0
557,14.6,35.4,12.0,29.6,2
262,16.7,46.6,79.4,35.1,0
333,15.6,20.4,50.6,40.0,0
582,23.0,11.9,59.9,36.3,0
505,26.2,35.0,23.1,7.4,1
222,13.9,2.7,87.3,49.9,0
799,21.8,22.7,69.5,48.2,0
167,36.7,3.6,4.4,37.5,1
479,18.7,24.6,58.1,31.5,0
723,9.3,46.8,78.7,44.6,0
440,26.7,32.0,27.2,12.1,1
78,15.7,6.8,42.5,0.7,1
134,24.2,36.0,45.4,22.2,1
223,8.1,33.6,30.3,9.4,1
438,3.0,1.5,53.8,2.2,0
194,30.8,31.0,51.9,4.7,1
358,38.1,12.3,86.5,32.4,1
132,11.4,4.2,73.6,3.7,1
188,2.6,30.5,49.0,36.8,0
405,10.8,38.4,51.7,10.0,0
565,32.1,33.4,49.1,43.6,2
449,37.0,21.9,48.7,22.4,1
65,30.6,9.3,64.4,18.6,1
767,4.6,12.5,46.8,31.8,0
392,18.0,9.3,85.3,49.7,0
654,32.5,15.4,75.0,12.1,1
733,38.5,1.7,37.8,21.9,1
452,33.7,41.8,67.0,37.0,2
489,19.9,39.2,61.8,3.3,1
678,12.9,49.4,60.3,49.5,2
175,32.5,35.7,80.6,3.5,1
766,8.3,31.9,28.8,5.3,0
101,27.5,6.6,88.3,27.9,1
757,34.6,12.2,69.8,35.2,2
120,28.9,16.8,90.8,17.1,1
302,5.7,24.0,61.4,48.7,0
307,30.6,42.6,55.6,33.4,2
384,35.4,0.2,82.6,4.8,1
532,34.5,43.7,93.0,41.9,2
779,9.5,23.1,74.9,2.2,0
386,0.6,0.5,33.1,45.9,0
631,14.6,32.7,84.9,21.6,0
483,31.2,35.7,8.6,17.8,2
230,23.7,32.7,14.2,17.4,1
576,36.9,25.2,63.3,0.5,1
330,31.9,36.9,49.8,12.0,1
405,14.4,42.9,58.5,42.7,2
159,39.5,39.7,8.8,37.5,2
757,20.7,13.8,2.7,28.7,2
397,34.6,41.2,8.4,14.6,2
763,0.3,44.4,9.3,1.9,2
210,22.2,34.5,83.9,11.2,1
726,36.7,41.9,64.2,2.6,2
411,12.9,42.4,87.8,25.9,0
68,7.9,9.3,83.0,19.6,0
116,8.1,6.0,25.0,41.8,1
190,1.5,9.9,43.8,21.6,0
263,21.2,49.9,37.3,21.9,2
68,15.0,12.8,38.7,41.0,1
347,14.3,45.1,74.1,5.5,0
477,4.2,6.5,15.9,30.1,0
588,15.0,20.9,75.7,24.5,0
191,35.5,24.7,14.9,40.0,2
149,25.9,35.1,70.0,29.1,1
113,13.1,23.5,53.4,45.7,0
110,32.0,43.4,63.3,42.0,2
332,14.7,32.3,21.3,25.4,2
88,13.4,13.9,98.4,20.2,0
135,0.8,9.2,43.7,44.0,0
176,0.3,24.8,12.7,11.1,1
166,13.9,10.0,25.5,36.4,1
676,7.8,8.5,3.2,31.9,2
795,31.1,37.1,8.3,48.5,2
531,7.0,38.8,23.4,47.9,2
57,2.9,26.0,98.6,35.4,0
457,12.9,44.2,15.2,42.1,2
317,4.6,18.4,41.7,44.7,0
418,38.1,18.3,16.7,30.7,2
251,25.0,16.9,92.4,11.9,1
248,6.3,2.0,8.5,34.8,1
291,2.5,26.0,45.2,35.7,0
684,5.9,14.7,31.1,24.4,0
520,2.3,10.9,57.6,17.5,0
653,22.6,13.5,22.7,17.3,1
263,36.0,26.0,16.8,1.3,1
644,7.7,7.4,98.0,41.4,0
758,2.0,20.0,68.0,4.0,0
110,9.3,24.5,30.3,13.0,1
237,38.0,46.2,8.3,36.5,2
776,15.3,23.8,40.4,32.9,2
571,10.5,11.8,64.0,19.3,0
451,28.3,2.1,99.4,30.4,0
721,20.8,30.6,9.1,42.3,2
51,1.4,29.2,26.0,3.9,1
683,32.0,44.2,5.4,10.6,2
314,24.2,16.2,9.8,9.6,1
260,38.9,20.2,63.5,49.4,2
271,10.8,14.2,86.1,6.8,0
188,30.0,0.0,42.9,19.0,1
642,5.2,31.4,24.1,11.1,0
153,32.0,10.3,83.3,37.5,1
524,39.8,43.3,15.4,42.2,2
521,11.7,24.0,5.6,30.4,2
594,18.4,35.3,97.5,31.4,0
191,23.2,22.4,79.9,7.6,1
300,39.0,20.5,95.7,28.1,1
215,28.5,12.2,97.1,10.6,1
373,12.5,3.7,68.5,17.1,0
162,14.7,33.5,67.4,35.7,0
777,21.0,16.9,29.5,15.4,2
747,6.4,20.5,53.1,29.9,0
467,15.2,9.7,0.7,0.5,1
76,1.5,8.4,43.2,8.2,1
759,26.2,44.1,57.2,13.1,2
425,15.2,2.7,75.3,20.7,0
75,33.6,45.5,56.4,44.4,2
205,37.5,32.9,95.1,23.7,1
421,24.4,20.3,14.1,16.3,1
796,6.1,16.4,76.7,16.1,0
609,28.7,42.4,24.8,35.7,2
468,15.2,24.8,16.9,30.8,2
307,33.1,25.6,78.9,42.0,2
789,3.7,1.0,1.4,44.0,2
451,34.0,38.6,27.9,45.7,2
217,2.5,38.1,86.6,27.2,0
628,35.8,2.1,78.0,2.1,1
569,13.8,13.0,25.9,47.7,2
403,5.4,39.8,95.4,7.0,0
760,19.3,32.9,95.0,46.2,0
235,15.7,13.7,86.2,33.4,0
157,15.3,8.3,19.0,13.2,1
529,10.0,43.1,51.8,19.0,0
298,26.0,36.8,5.6,17.6,2
670,8.0,43.8,33.4,25.4,2
392,38.6,42.4,17.6,37.1,2
50,28.5,5.1,63.1,38.7,1
95,38.0,9.0,42.9,10.5,1
683,26.9,7.8,24.7,24.8,2
778,31.8,30.7,60.7,7.8,2
65,13.9,10.7,20.5,33.4,1
494,28.6,2.3,77.3,19.4,1
328,34.8,9.2,29.6,26.3,1
472,28.0,41.9,98.8,24.9,0
704,3.7,44.4,55.4,47.1,0
794,15.3,4.5,14.8,44.9,2
491,12.6,41.7,3.7,3.9,2
478,1.2,13.1,37.2,17.1,0
345,24.5,43.9,44.4,27.5,2
327,31.0,28.9,86.3,28.3,1
281,23.9,17.7,24.2,35.1,2
87,8.0,46.7,73.3,28.8,0
424,34.0,23.0,67.5,43.9,2
618,3.0,6.1,58.5,36.8,0
254,9.7,37.4,4.7,44.4,2
488,26.2,4.0,66.9,14.3,1
176,40.0,22.8,27.8,22.6,1
222,28.2,12.5,42.2,45.4,1
566,13.6,14.1,90.5,36.4,0
128,11.3,0.9,95.8,1.9,1
764,9.8,36.5,28.1,46.0,2
448,34.3,39.7,70.1,1.0,1
90,27.4,26.9,84.4,14.3,1
187,8.3,47.0,4.1,29.2,2
443,26.5,29.8,36.9,43.6,2
589,32.2,44.3,92.0,35.6,2
720,3.7,27.1,5.1,1.3,2
604,8.9,0.2,83.1,2.8,0
229,29.5,19.4,70.3,32.9,1
649,4.4,29.4,78.1,22.1,0
516,13.5,49.9,16.0,22.5,2
594,16.7,16.8,58.2,6.8,0
630,32.6,22.2,48.3,15.3,1
55,36.4,32.1,8.4,3.4,1
211,31.5,29.2,81.5,27.8,1
319,36.1,13.9,10.1,12.4,1
485,13.1,7.4,39.9,37.8,0
665,11.2,19.7,0.2,0.3,1
697,27.1,49.5,61.1,12.3,2
727,35.1,39.6,54.5,3.6,2
350,20.1,1.0,23.6,21.5,1
366,21.0,37.5,22.8,31.5,2
762,15.4,30.3,28.0,43.5,2
372,14.3,7.6,8.3,2.6,1
309,12.4,0.2,44.6,50.0,0
75,35.4,7.5,8.9,18.0,1
109,8.4,6.3,98.2,14.9,0
141,31.9,49.9,52.6,11.8,1
275,19.5,43.6,64.8,18.9,0
122,4.6,15.3,30.8,2.3,1
85,30.9,0.2,22.8,32.0,1
719,22.5,43.8,32.9,44.8,2
460,8.0,34.9,17.4,44.8,2
107,13.7,25.7,55.5,33.1,0
582,29.0,31.6,1.3,31.7,2
242,15.5,38.5,80.0,17.5,0
529,12.5,3.7,16.7,34.3,2
168,9.4,21.5,50.9,2.4,1
654,18.4,2.6,26.8,17.6,1
721,10.7,21.0,77.4,31.0,0
252,14.8,8.7,79.1,7.1,1
668,5.7,3.3,1.4,30.2,2
602,0.4,27.8,76.0,48.4,0
501,21.4,13.3,30.9,7.5,1
654,29.5,29.6,16.1,48.7,2
390,11.6,10.5,32.8,40.4,0
374,10.8,29.0,3.4,12.7,1
693,37.7,46.7,13.6,2.3,2
67,14.4,34.0,94.0,38.4,0
253,35.5,45.3,95.6,42.9,2
579,30.4,31.3,0.9,47.3,2
713,29.4,34.7,66.3,2.3,1
690,9.3,28.9,27.1,8.0,0
494,19.0,15.8,49.2,34.3,0
401,3.5,27.0,67.9,22.5,0
195,18.4,32.7,74.1,11.4,1
79,14.0,16.3,48.5,18.9,1
510,26.1,23.4,87.8,10.1,0
114,12.5,42.7,43.2,23.2,2
131,27.0,2.8,6.2,43.3,1
152,32.1,18.1,9.7,7.7,1
272,17.8,21.1,59.4,32.1,0
523,31.8,0.4,53.8,44.6,2
693,6.5,48.9,91.0,38.2,0
781,34.6,24.5,21.2,40.4,2
141,4.9,31.3,42.8,23.1,0
405,35.4,20.9,23.0,39.2,2
565,36.3,1.1,21.1,13.9,1
759,29.7,41.6,29.9,37.4,2
752,28.4,30.9,69.9,42.3,2
261,34.4,41.3,1.2,43.8,2
719,28.4,11.2,88.9,44.5,0
662,29.5,8.5,36.9,42.4,2
647,37.7,46.8,64.8,12.6,2
413,32.8,22.0,74.9,20.1,1
188,14.7,31.0,94.0,0.8,1
493,26.6,40.8,97.5,9.6,0
553,8.0,24.7,47.1,47.3,0
297,11.6,26.4,1.8,19.0,1
465,17.1,25.1,43.0,43.6,2
176,24.8,27.0,97.1,36.2,0
55,36.2,11.6,26.6,10.2,1
741,3.8,2.1,97.5,0.7,0
793,31.3,6.4,80.4,34.5,0
336,29.6,20.5,82.9,33.5,0
445,32.3,12.1,65.4,26.7,1
757,23.2,26.0,0.9,34.2,2
737,24.9,27.1,98.3,22.6,0
381,3.2,40.1,59.8,35.4,0
378,28.5,12.7,76.7,7.4,1
484,23.5,34.3,45.3,9.2,1
305,16.9,20.8,40.3,28.1,1
581,39.4,14.3,84.2,24.8,1
471,6.1,12.0,0.8,32.2,2
233,6.4,41.8,34.8,10.4,1
211,39.1,4.6,53.7,2.1,1
229,29.2,11.8,62.1,20.8,1
410,1.4,7.0,79.2,43.5,0
622,29.7,31.7,28.6,46.8,2
123,29.4,18.1,60.6,40.9,1
81,6.6,35.4,83.9,29.6,0
79,3.5,35.7,12.5,35.7,2
106,36.5,40.9,62.8,6.1,1
268,25.5,20.4,32.7,5.3,1
157,13.6,35.7,83.6,32.7,0
208,30.5,10.1,79.7,21.3,1
239,3.8,30.1,47.1,37.6,0
88,39.3,5.0,18.8,4.7,1
576,36.6,36.6,12.4,40.0,2
776,36.2,0.1,72.6,29.2,1
482,19.7,45.6,13.8,0.3,2
527,34.5,6.4,0.7,14.9,1
627,6.8,43.8,21.8,7.6,2
185,4.4,47.1,20.0,11.9,2
233,7.2,1.2,11.5,46.8,2
216,21.7,3.1,78.0,46.0,0
684,17.8,38.2,74.0,41.6,0
786,8.2,49.7,28.3,11.7,2
165,27.9,24.6,91.5,48.1,0
658,27.7,31.5,91.5,18.6,0
472,8.6,11.0,99.5,36.7,0
770,27.2,16.5,59.9,11.2,1
487,24.9,30.9,74.8,23.4,0
701,29.1,16.7,95.4,25.1,0
105,38.9,38.5,76.1,5.4,1
509,22.5,18.3,6.9,2.2,1
121,23.7,19.5,43.2,0.5,1
236,22.5,1.9,92.3,45.6,0
622,29.1,35.0,32.7,16.7,2
410,38.9,19.0,69.1,40.0,2
83,1.9,23.2,18.4,42.0,2
319,6.4,19.9,22.7,24.8,0
370,15.0,34.0,12.6,4.3,1
601,11.4,48.3,79.7,33.6,0
719,34.6,8.5,19.3,34.5,2
191,35.9,32.9,21.4,45.1,2
456,2.6,31.8,36.9,32.0,0
226,14.7,12.6,2.8,14.2,1
701,32.8,3.9,98.0,37.0,0
679,27.2,4.4,62.8,30.5,0
445,0.6,1.0,90.4,34.0,0
739,29.1,40.1,99.8,49.9,2
407,37.3,35.6,69.8,35.8,2
618,35.6,47.8,76.5,4.0,2
465,26.2,35.7,96.7,16.6,0
688,4.5,4.5,28.7,34.5,0
530,24.5,3.6,63.8,36.1,0
138,18.4,6.6,92.6,28.3,0
688,24.5,25.6,83.2,42.0,0
728,8.3,28.8,17.6,27.2,2
765,21.0,7.7,52.7,19.0,0
543,6.8,36.5,83.7,31.7,0
635,20.9,33.0,12.9,44.9,2
315,17.5,5.4,96.2,34.3,0
716,4.4,25.9,77.2,30.1,0
365,11.7,1.8,31.0,44.8,0
416,33.8,14.0,32.4,32.4,1
306,30.4,39.7,82.1,0.1,1
666,24.6,36.9,33.9,46.5,2
626,16.7,20.2,21.2,45.1,2
596,22.4,47.6,81.5,12.6,0
238,7.8,8.2,4.1,29.9,1
617,31.6,48.1,73.1,46.6,2
66,19.1,30.0,61.5,1.8,1
457,32.4,46.4,77.6,4.4,1
539,34.3,5.2,81.8,21.2,1
669,1.3,48.0,11.3,39.4,2
186,30.8,23.0,75.0,44.9,1
83,5.9,5.8,78.5,18.2,0
374,24.8,40.6,79.5,27.6,0
732,38.0,49.0,16.3,19.2,2
468,9.3,17.0,43.7,7.7,1
256,19.8,25.3,78.5,25.7,0
257,26.4,21.8,58.3,14.0,1
223,28.6,39.8,82.4,50.0,2
641,17.3,6.1,35.8,41.7,2
755,11.6,33.4,98.3,46.0,0
612,26.8,24.7,62.3,31.6,2
391,34.1,5.9,6.2,37.8,2
396,19.0,8.8,25.5,12.6,1
168,23.2,4.0,33.6,8.0,1
369,9.5,31.9,22.1,38.2,2
244,27.6,48.1,46.2,50.0,2
573,0.8,41.4,20.0,27.9,2
542,3.1,31.7,44.5,32.6,0
730,18.2,12.8,0.2,1.5,1
302,14.3,30.5,96.5,26.0,0
761,39.5,30.4,42.7,11.2,2
54,17.6,47.9,24.3,20.3,2
513,15.9,26.8,61.6,20.6,0
338,31.2,27.2,9.5,1.9,1
138,33.7,9.4,53.7,13.7,1
531,10.6,6.8,28.5,21.5,0
116,33.0,26.3,91.1,18.3,1
321,23.4,6.9,31.0,45.2,2
53,30.2,24.2,89.9,4.0,1
602,6.6,27.1,96.8,5.0,0
243,36.4,36.1,70.9,46.3,2
660,26.6,39.7,69.3,40.4,2
69,21.6,19.2,88.4,21.8,1
294,20.5,45.8,93.7,46.4,0
265,21.7,6.2,53.5,4.3,1
580,38.4,23.7,57.9,44.6,2
502,16.1,12.5,33.6,33.3,2
424,15.2,36.3,28.5,28.5,2
256,29.8,10.5,47.6,26.9,1
253,24.9,22.2,55.3,13.4,1
96,5.7,40.2,60.7,29.9,0
347,37.3,17.8,62.7,48.5,2
191,9.5,5.9,35.2,22.7,1
471,30.7,48.0,78.8,44.7,2
785,10.0,10.2,14.4,44.9,2
67,25.7,9.9,81.3,47.8,1
466,25.2,25.8,42.4,14.1,1
242,28.2,18.0,81.2,26.9,1
291,23.0,26.3,92.0,42.1,0
599,10.8,27.9,86.8,21.3,0
250,8.2,47.5,91.0,45.9,0
435,10.7,45.9,58.0,13.0,0
66,38.0,22.0,69.8,10.2,1
80,30.5,40.8,39.8,26.8,1
55,38.5,5.6,1.3,30.8,1
674,33.3,25.9,23.2,33.8,2
608,30.9,25.4,54.4,48.2,2
800,8.2,39.2,6.9,21.7,2
701,35.4,3.9,70.6,5.5,1
53,18.8,0.1,58.0,30.2,1
318,21.9,4.5,48.1,45.5,1
623,28.7,7.2,25.7,37.2,2
430,7.2,39.8,99.6,19.1,0
648,28.9,38.1,89.2,38.8,2
557,12.2,9.4,36.8,32.3,0
190,31.9,21.8,45.6,5.3,1
